,name,salary,rating,numOfrates
404,checkout.com,73577.27272727272,4.0,6.0
405,cheetah digital,84020.88888888889,2.5,2.0
406,cherwell software,114161.25,3.5,2.0
407,chevron,56879.444444444445,4.2727272727272725,11.0
408,christian dior couture,41252.75,3.8333333333333335,6.0
409,christie's,114738.0,3.5294117647058822,17.0
410,chubb,96070.0,3.8999999999999995,10.0
411,cielo,88283.66666666667,2.333333333333333,9.0
412,ciena,66724.9375,4.222222222222221,9.0
413,cirrus logic,113375.0,4.0,2.0
414,cisco systems,75021.75396825396,4.39285714285713,113.0
415,cisilion,68109.0,4.25,4.0
416,cision,48066.0,3.1379310344827585,29.0
417,citco,78921.47368421052,2.0,2.0
418,citi,74127.78548387096,3.8013245033112195,151.0
419,cititec,104308.0,3.0,3.0
420,citizens advice,62715.666666666664,3.6428571428571437,14.0
421,citrix,80677.46296296296,4.0625,16.0
422,city pantry,55415.0,4.0,9.0
424,civica,60282.625,4.0,33.0
425,claranet,68108.0,3.545454545454546,11.0
426,clarivate analytics,48629.07692307692,3.5454545454545463,11.0
427,classpass,104675.0,5.0,2.0
428,clearscore,58370.0,4.25,4.0
429,clearwater analytics,72996.57142857143,4.0,2.0
430,click travel,55981.0,4.5,4.0
431,client server,80927.65217391304,4.5,4.0
432,clifford chance,30201.0,4.0,15.0
433,clinical professionals,94662.25,3.3999999999999995,5.0
435,close brothers,140174.0,3.631578947368421,19.0
436,cloud imperium games,83745.5,5.0,3.0
437,cloud technology solutions,35504.0,5.0,2.0
438,cloud.iq,145040.0,3.5,2.0
439,cloudnc,78423.5,4.5,2.0
440,cloudsense,38062.0,3.5,2.0
441,cloudera,72207.35,4.599999999999996,5.0
442,cloudflare,76818.71428571429,3.375,8.0
443,cloudreach,36855.0,3.208333333333333,24.0
444,club med,76866.16666666667,3.5,2.0
445,co-op,132373.0,3.0352941176470587,85.0
447,coach,35629.333333333336,3.75,4.0
448,cobham,61102.333333333336,3.5,12.0
449,coca-cola european partners,78755.46875,4.333333333333332,6.0
450,code red associates,30563.5,2.2,5.0
451,coffey international,69618.25,2.75,4.0
452,cognizant technology solutions,70161.1909090909,3.3611111111111054,73.0
453,colas,64465.0,2.5,2.0
454,colgate-palmolive,78778.05454545455,4.199999999999996,5.0
455,colliers international,66207.625,3.5,2.0
456,collins aerospace,75144.72222222222,4.25,4.0
457,collinson,115949.0,3.0588235294117645,17.0
458,colt technology services,70914.76470588235,4.214285714285714,28.0
459,commerzbank,97212.76923076923,3.736842105263158,19.0
460,commonwealth bank of australia,72233.46511627907,3.5,6.0
461,commvault,70850.0,3.4,10.0
462,compass group,106452.0,2.9302325581395348,43.0
463,complyadvantage,90896.72727272728,3.5,2.0
464,computacenter,63342.857142857145,3.2121212121212115,33.0
465,computappoint,111068.0,4.0,2.0
466,computer  futures solutions,76050.5,2.8333333333333326,6.0
467,computershare,71175.33333333333,3.642857142857144,14.0
468,comscore,76281.61538461539,2.6666666666666665,3.0
469,concentra analytics,70954.5,4.4,10.0
470,concentrix,65122.6,1.9047619047619049,42.0
471,condeco,75311.33333333333,2.6666666666666665,3.0
472,conduent,67919.31147540984,2.714285714285714,7.0
473,conocophillips,52566.5,3.6666666666666665,3.0
474,consensys,98039.33333333333,4.5,2.0
475,consilio,53100.666666666664,2.5,2.0
476,consult energy,142787.0,3.5,2.0
477,continental,74519.22727272728,2.666666666666659,4.0
478,contino,123780.2,5.0,4.0
479,control risks,64507.6,3.1666666666666665,12.0
480,cookpad,74397.4705882353,5.0,3.0
481,coopervision,75023.5,2.857142857142857,3.5714285714285716
482,cordant group,100131.83333333333,1.6666666666666667,3.0
483,"coretech, a wpp company",133444.0,3.0,2.0
484,cornerstone ondemand,74794.34782608696,4.166666666666668,6.0
485,cornwall council,28326.0,4.5,5.0
486,corporate travel management,88413.0,2.333333333333333,3.0
487,costello medical,29356.0,5.0,2.0
488,cotiviti,77205.41176470589,3.0,2.0
489,coty,67167.75,2.9473684210526314,19.0
490,couchbase,79094.92857142857,4.5,2.0
491,countrywide plc,68356.0,3.1428571428571432,42.0
492,coupa software inc,86496.25,4.0,2.0
493,covance,78947.13043478261,3.277777777777773,18.0
494,coventry building society,31795.0,4.090909090909091,11.0
495,covéa,65958.0,3.625,8.0
496,cox automotive,80620.0,3.25,4.0
497,crawford & company,54592.25,2.5,2.0
498,credit suisse,70043.41605839416,3.8787878787878793,66.0
499,crisp thinking,78591.66666666667,3.6666666666666665,3.0
500,criteo,73257.5,4.4285714285714235,7.0
501,critical software,69420.16666666667,3.5,2.0
502,crowdcube,120122.0,3.0,4.0
503,crowe uk,50166.333333333336,2.6666666666666665,3.0
504,crown agents,29577.0,3.25,12.0
505,crowne plaza hotels & resorts,90165.0,3.2,5.0
506,cubic,82363.73076923077,3.0,5.0
507,culture trip,113877.0,2.238095238095238,21.0
508,cummins,73741.54545454546,4.119999999999999,25.0
509,cundall,71676.75,3.25,4.0
510,currencycloud,111160.5,4.142857142857143,7.0
511,currie & brown,79872.55555555556,3.3333333333333326,3.0
512,cushman & wakefield,57344.333333333336,3.705882352941176,17.0
513,cuvva,30373.0,3.6666666666666665,3.0
514,cvent,74306.4,3.4,5.0
515,cyient,85787.33333333333,1.7142857142857142,7.0
516,cytora,82909.0,4.5,2.0
517,d r newitt,99398.0,3.0,2.0
518,dac,83030.5,5.0,2.0
519,dbrs,92696.0,4.0,2.0
520,dck,53130.0,3.6666666666666665,3.0
521,dhi group,52224.0,3.333333333333333,3.0
522,dhl express,78117.8,3.6000000000000005,6.0
523,dhl global forwarding,86662.0,3.1666666666666665,6.0
524,dhl supply chain,72550.86842105263,3.239130434782609,46.0
525,dice fm,122416.0,4.0,4.0
526,dla piper,106633.0,3.25,8.0
527,dll,28401.0,5.0,2.0
528,dmc healthcare,98525.0,1.0,5.0
529,dnv gl,75774.58139534884,3.0999999999999974,10.0
530,dong energy,78369.76923076923,3.666666666666666,9.0
531,dp world,57036.0,4.0,3.0
532,dpd,67460.25,3.071428571428572,14.0
533,dräxlmaier group,82393.25,2.5,2.0
534,dsp group,58002.5,3.6666666666666665,3.0
535,dst global solutions,99726.5,4.0,2.0
536,dst systems,61944.333333333336,3.176470588235295,17.0
537,dsv global transport & logistics,75853.125,2.5,2.0
538,dtcc,56583.192307692305,3.0,4.0
539,dxc technology,75838.14465408806,3.0606060606060352,67.0
540,daily mail and general trust,111646.0,3.625,8.0
541,dalet,125895.33333333333,4.0,2.0
542,damar webbing solutions,43984.0,1.0,2.0
543,danone,73653.60550458716,4.388888888888899,18.0
544,danske bank,74393.44230769231,3.5,2.0
545,darwin recruitment,72268.3,4.444444444444445,9.0
546,dassault systemes,77671.65789473684,3.5,4.0
547,dataminr,53359.5,5.0,3.0
548,datto ,79243.0,5.0,3.0
549,de la rue,70992.85714285714,3.4444444444444438,9.0
550,dealogic,66181.8,2.9473684210526314,19.0
551,decathlon,57048.0,2.6,15.0
552,deerfoot it resources,71135.05882352941,4.0,2.0
553,deezer,81805.53333333334,1.5,2.0
555,deichmann,69810.5,1.75,4.0
556,delaware north,85864.5,3.0,8.0
557,deliveroo,68666.25,3.1392405063291133,79.0
558,dell technologies,73642.71885714286,3.9761904761904012,42.0
559,deloitte,75166.59644670051,3.6232394366197496,287.0
560,delphix,140679.0,4.0,2.0
561,deltek,70608.86363636363,3.5555555555555567,9.0
562,deluxe entertainment,91884.0,3.5,4.0
563,dematic,78689.65,3.5,2.0
564,dennis publishing,66323.0,4.2727272727272725,11.0
565,dentons,69919.57142857143,2.8333333333333326,6.0
566,dentsply sirona,87503.76923076923,3.5,4.0
567,dentsu aegis network,64191.92727272727,3.52631578947368,19.0
568,department for work and pensions,80545.35714285714,3.0731707317073167,42.0
569,depop,111693.0,4.0,3.0
570,dermalogica,95633.0,5.0,3.0
571,desigual,69824.8,1.0,2.0
572,deutsche bank,64639.93650793651,3.842105263157892,114.0
573,deutsche börse group,81237.4,2.0,2.0
574,deutsche telekom,73803.25609756098,4.0,2.0
575,diageo,68179.86419753087,4.274509803921566,51.0
576,dialog semiconductor,76706.21428571429,4.166666666666666,7.0
577,diamond resorts,64239.0,4.333333333333333,3.0
578,dice,70496.33333333333,4.0,3.0
579,diebold nixdorf,116161.33333333333,3.75,4.0
580,diesel,53691.0,4.0,4.0
581,digital gurus,90636.42857142857,5.0,3.0
582,digital river,93598.5,4.5,4.0
583,digitas,74377.0,2.727272727272727,22.0
584,diligent,72982.5,2.6666666666666665,3.0
585,dimensional fund advisors,47027.0,2.75,4.0
586,direct line group,84121.6,4.194805194805195,77.0
587,disciple,140644.0,4.0,2.0
588,"discovery, inc.",85308.4,4.0666666666666655,30.0
589,displaylink,89366.5,3.0,2.0
590,dixons carphone,53033.0,3.1929824561403515,228.0
591,dnata,76984.66666666667,1.5,2.0
593,docusign,76542.11111111111,3.666666666666668,3.0
594,domestic & general group,66854.66666666667,2.5357142857142856,28.0
595,domino's,33245.0,2.5769230769230766,26.0
